Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Hora,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ganancia de altura,Altura perdida,Longitud media de zancada
trail_running,2018-07-07 07:00:53,false,Zumetxagas,10.12,703,01:09:24,141,174,162,184,6:52,4:57,315,321,0.9
trail_running,2018-07-06 19:56:42,false,Jata,17.61,1135,01:56:08,144,166,162,238,6:36,1:11,734,729,0.94
trail_running,2018-07-03 20:41:49,false,Zumetxagas,8.01,464,00:46:27,141,175,166,178,5:48,4:18,251,247,1.04
trail_running,2018-06-30 07:02:56,false,Jata,16.64,1046,01:59:21,138,168,158,248,7:10,3:35,704,711,0.88
trail_running,2018-06-28 06:43:56,false,Armitza & Plentzia,52.02,2451,05:50:46,140,181,160,206,6:45,4:20,1731,1733,0.93
trail_running,2018-06-26 07:18:05,false,Sollube,29.12,1776,03:12:52,153,185,162,246,6:37,4:13,1213,1213,0.93
trail_running,2018-06-23 06:52:17,false,Jata,15.02,1296,01:49:36,161,180,154,194,7:18,4:56,693,692,0.89
trail_running,2018-06-21 16:43:06,false,Sollube & Jata,30.53,1738,03:21:03,144,178,160,192,6:35,4:26,1228,1229,0.95
trail_running,2018-06-19 18:08:32,false,Jata,20.22,1630,02:15:11,165,206,156,192,6:41,3:47,758,760,0.96
trail_running,2018-06-19 07:49:24,false,Zumetxagas,9.71,696,01:03:45,150,179,164,206,6:34,3:55,336,333,0.93
trail_running,2018-06-17 07:40:44,false,Bizkargi & aramotz,44.5,3474,05:52:15,156,188,148,242,7:55,4:35,1836,1926,0.85
trail_running,2018-06-14 07:18:08,false,Geldo Buelta,17.27,1314,01:50:23,156,177,160,196,6:23,0:34,515,521,0.98
trail_running,2018-06-08 07:16:25,false,Jata Bakio y Canon,32.02,1922,03:48:21,131,179,156,220,7:08,4:12,1398,1393,0.9
trail_running,2018-06-05 19:11:37,false,Jata,17.29,1256,02:00:07,148,180,158,192,6:57,3:46,738,743,0.91
trail_running,2018-05-29 07:23:07,true,Lekeitio,65.27,4850,07:54:31,155,196,152,246,7:16,3:40,2534,2634,0.9
trail_running,2018-05-26 08:47:42,false,Jata & sollube,30.26,2328,03:34:59,160,198,158,238,7:06,4:19,1344,1340,0.89
trail_running,2018-05-24 20:36:04,false,Zumetxagas,10.5,830,01:04:22,160,179,164,184,6:08,3:51,320,319,0.99
trail_running,2018-05-22 19:21:38,false,Mungia Carrera,17.1,1064,01:58:07,140,167,160,180,6:54,3:55,736,729,0.91
